"Ticker","Nome","Negócios","Última (R$)","Variação"
"DMVF3","D1000 Varejo Farma","34.800","4,52","-2,38%"
"IGTI3","Iguatemi","34.500","2,72","-1,09%"
"IGTI3","Jereissati Participações","34.500","2,72","-1,09%"
"SANB4","Banco Santander","33.800","14,49","-1,23%"
"HOOT4","Hotéis Othon","32.700","4,04","+0,00%"
"EPAR3","Embpar Participações","32.400","4,35","-3,76%"
"RAPT3","Randon","29.100","5,19","-4,24%"
"WEST3","Westwing","27.100","4,95","-1,98%"
"BRAP3","Bradespar","26.800","15,60","-0,70%"
"SHOW3","Time For Fun","26.500","5,59","-0,71%"
"BMEB4","Banco Mercantil do Brasil","25.200","50,39","+1,59%"
"RNEW3","Renova Energia","22.400","1,04","+1,96%"
"JFEN3","João Fortes","22.200","1,57","+0,00%"
"PINE3","Banco Pine","21.900","8,30","+0,36%"
"BIED3","BIED3","21.300","3,44","+9,90%"
"FICT3","Fictor Alimentos","20.800","3,21","-0,93%"
"HAGA4","Haga","19.400","1,04","+2,97%"
"INEP4","Inepar","17.600","1,29","+0,00%"
"RCSL3","Recrusul","17.300","1,52","-1,94%"
"EMAE4","EMAE","16.200","35,20","-5,12%"
"CAMB3","Cambuci","14.600","9,46","+0,64%"
"COCE5","Coelce","12.500","29,35","+0,48%"
"AALR3","Alliança","12.300","5,17","-0,39%"
"AGXY3","AgroGalaxy","12.000","5,70","-0,52%"
"FHER3","Fertilizantes Heringer","11.900","4,17","+1,96%"
"ENGI4","Energisa","11.500","8,94","+0,45%"
"UNIP3","Unipar","11.300","64,00","-0,03%"
"RDNI3","RNI","11.100","2,03","-0,49%"
"NGRD3","Neogrid","10.000","26,00","-0,38%"
"TASA3","Taurus","9.900","5,18","-0,77%"
"OIBR4","Oi","9.400","5,00","-1,38%"
"REAG3","REAG3","8.900","1,90","-9,09%"
"CLSC4","Celesc","8.800","100,05","-0,80%"
"GGBR3","Gerdau","8.600","15,10","-0,98%"
"BAZA3","Banco da Amazônia","8.100","73,02","-1,55%"
"CEBR6","CEB","8.100","24,90","-0,52%"
"ALUP4","Alupar","7.400","9,75","+2,52%"
"PDTC3","Padtec","7.400","0,99","-1,00%"
"EALT4","Electro Aço Altona","7.300","11,22","-1,06%"
"LUXM4","Trevisa","7.300","3,48","+3,57%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","7.100","2,31","-1,70%"
"DOTZ3","Dotz","7.000","7,86","+0,77%"
"TELB3","Telebras","6.800","10,21","-0,87%"
"REDE3","Rede Energia","6.100","6,40","+0,16%"
"BRSR3","Banrisul","5.600","13,98","+0,00%"
"BSLI4","Banco de Brasília","4.900","9,16","-2,66%"
"RPMG3","Refinaria de Manguinhos","4.900","2,17","+0,00%"
"ENGI3","Energisa","4.800","12,14","-1,54%"
"BEES3","Banestes","4.800","8,05","+0,88%"
"DEXP4","Dexxos","4.100","7,80","-1,64%"
"CGRA3","Grazziotin","4.000","30,80","+0,65%"
"TPIS3","Triunfo","4.000","3,94","-1,50%"
"SCAR3","São Carlos","3.600","20,90","+0,97%"
"LOGN3","Log-In","3.500","24,50","-0,08%"
"CEBR3","CEB","3.500","23,11","-1,87%"
"ALPA3","Alpargatas","3.500","9,35","-0,85%"
"PTNT4","Pettenati","3.200","4,66","-0,85%"
"HAGA3","Haga","3.000","1,81","+0,56%"
"BOBR4","Bombril","3.000","1,29","-0,77%"
"CRPG5","Tronox Pigmentos","2.800","12,10","+0,41%"
"CEBR5","CEB","2.700","22,93","-0,78%"
"BALM4","Baumer","2.700","18,58","+6,41%"
"MERC4","Mercantil do Brasil Financeira","2.500","12,50","+0,00%"
"VSTE3","LE LIS BLANC","2.300","4,79","-3,04%"
"ISAE3","ISA Energia","2.200","31,55","+1,38%"
"SNSY5","Sansuy","2.200","3,09","+6,55%"
"BPAC3","Banco BTG Pactual","2.100","26,12","-1,06%"
"BPAC5","Banco BTG Pactual","2.100","10,30","-3,38%"
"WHRL4","Whirlpool","2.000","4,68","-0,43%"
"MTSA4","Metisa","1.900","43,84","-0,02%"
"ALUP3","Alupar","1.900","11,50","+0,44%"
"NUTR3","Nutriplant","1.800","2,82","-2,42%"
"BEES4","Banestes","1.500","8,10","+0,25%"
"OFSA3","Ourofino Saúde Animal","1.400","22,58","+0,13%"
"WHRL3","Whirlpool","1.400","4,46","-0,45%"
"ENMT3","Energisa MT","1.100","51,99","+4,40%"
"MNPR3","Minupar","1.000","40,30","+0,72%"
"BGIP4","Banese","1.000","26,98","+0,30%"
"FIEI3","Fica","1.000","20,20","-7,34%"
"RVEE3","REVEE","900","7,00","-7,04%"
"RVEE3","REVEE S.A.","900","7,00","-7,04%"
"CALI3","Adolpho Lindenberg","800","16,20","-4,99%"
"BSLI3","Banco de Brasília","800","9,00","+1,12%"
"EQPA3","Equatorial Energia Pará","800","5,61","-1,06%"
"TELB4","Telebras","700","8,39","-2,33%"
"AVLL3","Alphaville","700","1,54","-1,28%"
"UNIP5","Unipar","600","75,20","-0,42%"
"BMEB3","Banco Mercantil do Brasil","600","42,01","-3,18%"
"CRPG6","Tronox Pigmentos","600","11,80","-13,24%"
"AZEV11","Azevedo & Travassos","600","0,08","+0,00%"
"CGAS5","Comgás","500","126,82","-0,92%"
"OSXB3","OSX Brasil","500","2,34","+0,00%"
"MRSA3B","MRS Logística","400","25,04","-9,93%"
"BALM3","Baumer","300","20,90","-5,00%"
"EALT3","Electro Aço Altona","300","12,74","+3,92%"
"BIOM11","Biomm","300","3,70","+22,92%"
"DTCY3","Dtcom","300","2,70","-1,10%"
"CLSC3","Celesc","200","95,03","-0,28%"
"MOAR3","Monteiro Aranha","200","75,00","+0,00%"
"EKTR4","Elektro","200","44,99","+1,10%"
"BMIN4","Banco Mercantil de Investimentos","200","17,01","+0,59%"
"BRKM6","Braskem","200","7,63","+5,97%"
"PLAS3","Plascar","200","4,41","-1,12%"
"CALI11","CALI11","200","3,85","+0,00%"
"GSHP3","General Shopping & Outlets","200","2,95","+0,00%"
"RSID3","Rossi Residencial","200","1,60","-6,98%"
"PPLA11","PPLA","134","0,81","+1,25%"
"JOPA3","Josapar","100","20,11","+0,00%"
"CPLE5","Copel","100","12,80","-5,19%"
"MWET4","Wetzel","100","10,01","+0,20%"
"CBEE3","Ampla Energia","100","9,76","-6,06%"
"PTNT3","Pettenati","100","8,90","+0,00%"
"DOHL4","Döhler","100","3,95","+0,00%"
"BMKS3","Monark","34","434,99","-3,12%"
"AMAR11","Lojas Marisa","6.300","0,18","+5,88%"
"CTSA4","Santanense","1.400","2,20","-4,35%"
"NEXP3","Brasil Brokers","1.000","3,38","-3,43%"
"AFLT3","Afluente T","900","7,77","+6,15%"
"ESTR4","Estrela","800","5,30","+0,00%"
"MNDL3","Mundial","500","18,08","+2,67%"
"BNBR3","Banco do Nordeste","300","98,56","-0,94%"
"NORD3","Nordon","300","4,55","+1,11%"
"BAUH4","Excelsior","200","86,95","+0,00%"
"ENMT4","Energisa MT","200","54,50","+4,81%"
"CEEB3","COELBA","200","36,00","+0,00%"
"CTAX3","CTAX3","200","1,21","+0,00%"
"CEGR3","Naturgy (CEG)","100","96,49","-0,24%"
"RSUL4","Metalúrgica Riosulense","100","62,65","+0,00%"
"PATI3","Panatlântica","100","39,57","-8,00%"
"EUCA3","Eucatex","100","21,35","+7,99%"
"CEDO4","Cedro Têxtil","100","11,84","+2,96%"
"EQMA3B","Equatorial Maranhão","6.300","31,99","+3,19%"
"GEPA3","Rio Paranapanema Energia","1.200","33,70","-5,07%"
"PATI4","Panatlântica","600","38,87","+0,00%"
"GEPA4","Rio Paranapanema Energia","200","34,94","+0,06%"
"AHEB3","São Paulo Turismo","200","29,50","+7,27%"
"FESA3","Ferbasa","200","11,58","-3,02%"
"TKNO4","Tekno","100","196,89","-0,06%"
"TKNO3","Tekno","100","195,81","+0,96%"
"COCE3","Coelce","100","33,70","-8,55%"
"HBTS5","Habitasul","100","32,00","+5,61%"
"WLMM4","WLM","600","20,15","+0,75%"
"CTKA4","Karsten","400","34,99","-0,03%"
"MGEL4","Mangels","200","6,30","-2,33%"
"HETA4","Hercules","200","4,51","-2,17%"
"SOND5","Sondotécnica","100","44,30","-4,83%"
"CRPG3","Tronox Pigmentos","100","15,00","+0,00%"
"PSVM11","PORTO VM","10.500","6,00","+0,00%"
"MSPA3","Melhoramentos","1.000","46,00","+0,00%"
"RPAD3","Alfa Holdings","200","4,92","-0,20%"
"CEEB5","COELBA","100","34,01","-7,33%"
"BRSR5","Banrisul","100","17,90","+13,65%"
"PINE11","Banco Pine","100","13,50","+12,50%"
"ADMF3","REAG TRUST S.A","400","35,02","-49,97%"
"PEAB3","Participações Aliança da Bahia","300","37,28","+5,01%"
"LUPA11","LUPA11","200","0,11","+0,00%"
"WLMM3","WLM","100","21,25","-7,57%"
"EQPA5","Equatorial Energia Pará","100","6,25","+0,00%"
"STBP3","Santos Brasil","6.936.100","14,42","+0,00%"
"PEAB4","Participações Aliança da Bahia","1.000","36,00","+0,61%"
"BDLL4","Bardella","1.000","7,40","+7,25%"
"CGAS3","Comgás","100","124,00","+0,00%"
"BGIP3","Banese","100","31,00","-1,62%"
"CCTY3","REDVECO PROPERTIES S.A","500","26,94","+0,00%"
"CCTY3","RDVC CITY","500","26,94","+0,00%"
"CEDO3","Cedro Têxtil","200","15,01","+0,07%"
"SNSY3","Sansuy","100","11,90","+8,18%"
"BDLL3","Bardella","100","9,90","+0,00%"
"MAPT4","Cemepe","100","4,05","+0,00%"
"LVTC3","WDC Networks","21.100","3,62","-0,82%"
"IGTI4","Iguatemi","400","10,74","+2,38%"
"IGTI4","Jereissati Participações","400","10,74","+2,38%"
"CTSA3","Santanense","300","2,30","+3,60%"
